lessonId,route,title,catalog,mainTopic,subtopic,conceptId,existingType,newPrimaryType,interactionFormats,engine,currentAdapter,currentPresetSpecificity,targetPresetSpecificity,contentQuality,mathematicalReview,priority,applicabilityOfLearn,applicabilityOfExplore,applicabilityOfPractice,applicabilityOfChallenge,applicabilityOfInvestigation,applicabilityOfVisualProof,applicabilityOfAssessment,applicabilityOfRevision,notes
651,/lessons/authoring-and-learning-system/651-real-world-application,Real-World Application,core,Authoring and Learning System,Lesson and Assessment Pages,authoring-and-learning-system.lesson-and-assessment-pages.real-world-application,Learning Flow,assessment,slider|numeric-answer,none,learning,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,available,applicable-missing,Complete mixed items. Submit once ready. Review skill-level feedback. Open remediation links.
652,/lessons/authoring-and-learning-system/652-open-investigation,Open Investigation,core,Authoring and Learning System,Lesson and Assessment Pages,authoring-and-learning-system.lesson-and-assessment-pages.open-investigation,Learning Flow,assessment,slider|numeric-answer,none,learning,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,available,applicable-missing,Complete mixed items. Submit once ready. Review skill-level feedback. Open remediation links.
653,/lessons/authoring-and-learning-system/653-dynamic-question-generator,Dynamic Question Generator,core,Authoring and Learning System,Lesson and Assessment Pages,authoring-and-learning-system.lesson-and-assessment-pages.dynamic-question-generator,Learning Flow,assessment,slider|numeric-answer,none,learning,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,available,applicable-missing,Complete mixed items. Submit once ready. Review skill-level feedback. Open remediation links.
654,/lessons/authoring-and-learning-system/654-mastery-challenge,Mastery Challenge,core,Authoring and Learning System,Lesson and Assessment Pages,authoring-and-learning-system.lesson-and-assessment-pages.mastery-challenge,Learning Flow,assessment,slider|numeric-answer,none,learning,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,available,applicable-missing,Complete mixed items. Submit once ready. Review skill-level feedback. Open remediation links.
655,/lessons/authoring-and-learning-system/655-exit-ticket,Exit Ticket,core,Authoring and Learning System,Lesson and Assessment Pages,authoring-and-learning-system.lesson-and-assessment-pages.exit-ticket,Learning Flow,assessment,slider|numeric-answer,none,learning,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,available,applicable-missing,Complete mixed items. Submit once ready. Review skill-level feedback. Open remediation links.
656,/lessons/authoring-and-learning-system/656-revision-summary,Revision Summary,core,Authoring and Learning System,Lesson and Assessment Pages,authoring-and-learning-system.lesson-and-assessment-pages.revision-summary,Learning Flow,assessment,slider|numeric-answer,none,learning,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,available,applicable-missing,Complete mixed items. Submit once ready. Review skill-level feedback. Open remediation links.
657,/lessons/platform-capabilities/657-drag-and-manipulate,Drag and Manipulate,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.drag-and-manipulate,Platform Requirement,explore,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
658,/lessons/platform-capabilities/658-zoom-and-pan,Zoom and Pan,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.zoom-and-pan,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
659,/lessons/platform-capabilities/659-reset-view,Reset View,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.reset-view,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
660,/lessons/platform-capabilities/660-undo-and-redo,Undo and Redo,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.undo-and-redo,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
661,/lessons/platform-capabilities/661-animation-player,Animation Player,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.animation-player,Platform Requirement,learn,drag-and-observe|animation,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
662,/lessons/platform-capabilities/662-snap-controls,Snap Controls,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.snap-controls,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
663,/lessons/platform-capabilities/663-trace-and-locus,Trace and Locus,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.trace-and-locus,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
664,/lessons/platform-capabilities/664-exact-and-decimal-output,Exact and Decimal Output,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.exact-and-decimal-output,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
665,/lessons/platform-capabilities/665-linked-views,Linked Views,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.linked-views,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
666,/lessons/platform-capabilities/666-save-duplicate-and-share,"Save, Duplicate and Share",core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.save-duplicate-and-share,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
667,/lessons/platform-capabilities/667-export,Export,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.export,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
668,/lessons/platform-capabilities/668-teacher-presentation-mode,Teacher Presentation Mode,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.teacher-presentation-mode,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
669,/lessons/platform-capabilities/669-learner-practice-mode,Learner Practice Mode,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.learner-practice-mode,Platform Requirement,practice,drag-and-observe|numeric-answer,none,platform,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
670,/lessons/platform-capabilities/670-exam-mode,Exam Mode,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.exam-mode,Platform Requirement,assessment,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,available,applicable-missing,Complete mixed items. Submit once ready. Review skill-level feedback. Open remediation links.
671,/lessons/platform-capabilities/671-keyboard-navigation,Keyboard Navigation,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.keyboard-navigation,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
672,/lessons/platform-capabilities/672-screen-reader-support,Screen Reader Support,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.screen-reader-support,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
673,/lessons/platform-capabilities/673-high-contrast-and-large-text,High Contrast and Large Text,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.high-contrast-and-large-text,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
674,/lessons/platform-capabilities/674-multi-language-terminology,Multi-Language Terminology,core,Platform Capabilities,Common Tools and Accessibility,platform-capabilities.common-tools-and-accessibility.multi-language-terminology,Platform Requirement,learn,drag-and-observe,none,platform,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
39,/lessons/graphs-and-functions/39-cartesian-graphing,Cartesian Graphing,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.cartesian-graphing,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
40,/lessons/graphs-and-functions/40-function-plotter,Function Plotter,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.function-plotter,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
41,/lessons/graphs-and-functions/41-equation-grapher,Equation Grapher,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.equation-grapher,Graph Explorer,investigation,cas|slider,cas-data,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
42,/lessons/graphs-and-functions/42-inequality-grapher,Inequality Grapher,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.inequality-grapher,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
43,/lessons/graphs-and-functions/43-parametric-curves,Parametric Curves,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.parametric-curves,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
44,/lessons/graphs-and-functions/44-polar-graphs,Polar Graphs,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.polar-graphs,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
45,/lessons/graphs-and-functions/45-point-plotter,Point Plotter,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.point-plotter,Graph Explorer,investigation,graphing|slider|drag-and-observe,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
46,/lessons/graphs-and-functions/46-data-plotter,Data Plotter,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.data-plotter,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
47,/lessons/graphs-and-functions/47-table-of-values,Table of Values,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.table-of-values,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
48,/lessons/graphs-and-functions/48-trace-mode,Trace Mode,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.trace-mode,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
49,/lessons/graphs-and-functions/49-zoom-and-pan,Zoom and Pan,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.zoom-and-pan,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
50,/lessons/graphs-and-functions/50-axis-controls,Axis Controls,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.axis-controls,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
51,/lessons/graphs-and-functions/51-grid-controls,Grid Controls,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.grid-controls,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
52,/lessons/graphs-and-functions/52-multiple-graphics-views,Multiple Graphics Views,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.multiple-graphics-views,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
53,/lessons/graphs-and-functions/53-special-points,Special Points,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.special-points,Graph Explorer,investigation,graphing|slider|drag-and-observe,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
54,/lessons/graphs-and-functions/54-graph-inspector,Graph Inspector,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.graph-inspector,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
55,/lessons/graphs-and-functions/55-dynamic-parameters,Dynamic Parameters,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.dynamic-parameters,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
56,/lessons/graphs-and-functions/56-export-graph,Export Graph,core,Graphs and Functions,2D Graphing Calculator,graphs-and-functions.2d-graphing-calculator.export-graph,Graph Explorer,investigation,graphing|slider,graph-2d,graph,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
92,/lessons/algebra/92-algebra-tiles,Algebra Tiles,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.algebra-tiles,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
93,/lessons/algebra/93-like-terms,Like Terms,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.like-terms,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
94,/lessons/algebra/94-substitution,Substitution,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.substitution,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
95,/lessons/algebra/95-expanding-brackets,Expanding Brackets,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.expanding-brackets,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
96,/lessons/algebra/96-double-brackets,Double Brackets,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.double-brackets,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
97,/lessons/algebra/97-factorisation,Factorisation,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.factorisation,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
98,/lessons/algebra/98-algebraic-fractions,Algebraic Fractions,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.algebraic-fractions,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
99,/lessons/algebra/99-indices,Indices,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.indices,Worked Example + Practice,practice,cas|slider|animation|simulation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
100,/lessons/algebra/100-surds,Surds,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.surds,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
101,/lessons/algebra/101-rationalisation,Rationalisation,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.rationalisation,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
102,/lessons/algebra/102-polynomial-operations,Polynomial Operations,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.polynomial-operations,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
103,/lessons/algebra/103-synthetic-division,Synthetic Division,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.synthetic-division,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
104,/lessons/algebra/104-remainder-theorem,Remainder Theorem,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.remainder-theorem,Worked Example + Practice,visual-proof,cas|slider|animation|open-response,cas-data,algebra-cas,family,theorem-specific,family-specific,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,State the theorem and identify given/fixed objects. Predict the invariant before manipulating the diagram. Manipulate the construction and record measurements. Bridge the visual invariant to the formal proof.
105,/lessons/algebra/105-factor-theorem,Factor Theorem,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.factor-theorem,Worked Example + Practice,visual-proof,cas|slider|animation|open-response,cas-data,algebra-cas,family,theorem-specific,family-specific,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,State the theorem and identify given/fixed objects. Predict the invariant before manipulating the diagram. Manipulate the construction and record measurements. Bridge the visual invariant to the formal proof.
106,/lessons/algebra/106-identities,Identities,core,Algebra,Expressions and Manipulation,algebra.expressions-and-manipulation.identities,Worked Example + Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
107,/lessons/algebra/107-one-step-equations,One-Step Equations,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.one-step-equations,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
108,/lessons/algebra/108-multi-step-equations,Multi-Step Equations,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.multi-step-equations,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
109,/lessons/algebra/109-equations-with-fractions,Equations with Fractions,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.equations-with-fractions,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
110,/lessons/algebra/110-literal-equations,Literal Equations,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.literal-equations,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
111,/lessons/algebra/111-linear-equations,Linear Equations,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.linear-equations,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
112,/lessons/algebra/112-simultaneous-linear-equations,Simultaneous Linear Equations,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.simultaneous-linear-equations,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
113,/lessons/algebra/113-three-variable-systems,Three-Variable Systems,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.three-variable-systems,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
114,/lessons/algebra/114-quadratic-equations,Quadratic Equations,core,Algebra,Equations and Inequalities,algebra.equations-and-inequalities.quadratic-equations,Guided Practice,practice,cas|slider|animation,cas-data,algebra-cas,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,available,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Review the method. Answer a deterministic question. Check with visual or symbolic verification. Try another value.
